#format: frame checksums
#version: 2
#hash: MD5
#software: Lavf61.7.100
#tb 0: 1/60
#media_type 0: video
#codec_id 0: rawvideo
#dimensions 0: 1440x852
#sar 0: 1/1
#stream#, dts,        pts, duration,     size, hash
0,          0,          0,        1,  1840320, 94362884734db50cb5fc87b7c0dfbe13
0,          1,          1,        1,  1840320, b067a09f87212ad0c80b151bf57a79df
0,          2,          2,        1,  1840320, aa60feb2211cd8e490f599429635c214
0,          3,          3,        1,  1840320, 26acbdac419735115d7444d2cda2551e
0,          4,          4,        1,  1840320, c893e586f165b14c55cfa2fb7709037b
0,          5,          5,        1,  1840320, fc913727bab29b7e9d0cdcf6aa80a704
0,          6,          6,        1,  1840320, 5503d32e1e907f0ccabf67a729a5791d
0,          7,          7,        1,  1840320, a84bbb6de4513fc9894ae738ad75faac
0,          8,          8,        1,  1840320, f4ef8407809e016cbee5986105c6bcde
0,          9,          9,        1,  1840320, 0fc91c7d93159ac628927bf773916c25
0,         10,         10,        1,  1840320, f8fb3d8f86a832e16ced2e9a8aa997fe
0,         11,         11,        1,  1840320, 3998ec0ac8f0f58d20f5660c5698c496
0,         12,         12,        1,  1840320, df5ff0fdd49d85217f25ef3378b19d43
0,         13,         13,        1,  1840320, 74c897d29cacd19468add5b1e27a41ba
0,         14,         14,        1,  1840320, 238c1fab3c78d40acef7530256bff201
0,         15,         15,        1,  1840320, 7deacb95ddb69da79ef9448d81188623
0,         16,         16,        1,  1840320, a17eaeb1cdbc62031e05dea4c0ff4211
0,         17,         17,        1,  1840320, 8e4b52897aeb169281d1062f9b8bd614
0,         18,         18,        1,  1840320, c2cde5f8aa59cf158c7afa9992ac8521
0,         19,         19,        1,  1840320, c2adaf2806680aaea875cd032feca0a7
0,         20,         20,        1,  1840320, c377f2d65506a99ca16430812822c4b5
0,         21,         21,        1,  1840320, 3130236c8cb200880acd068054d55d00
0,         22,         22,        1,  1840320, b6f8a1c1880fc4ab92400c39c329aa1b
0,         23,         23,        1,  1840320, 584654886243f4cd8fea9ec26859b933
0,         24,         24,        1,  1840320, 5342f5ba3cdec390fc73e4930184a01d
0,         25,         25,        1,  1840320, 861da688db482b9eab500ee862823ea4
0,         26,         26,        1,  1840320, ba2e0d0e4b232eacae28fb805565d7e4
0,         27,         27,        1,  1840320, e94887451085ab1642ba692af4b16ca1
0,         28,         28,        1,  1840320, eed4f4026e8453885b6b5f2eaa1e1d73
0,         29,         29,        1,  1840320, ada0d0f22ec4efed047e54e3dc659c29
0,         30,         30,        1,  1840320, 69de7623ba48f9ea8f1ec7f6186f0c68
0,         31,         31,        1,  1840320, 03dc2cbf9fa638508c9b58d1406572df
0,         32,         32,        1,  1840320, 3e01997d4376563ba6632f4b7837e2fe
0,         33,         33,        1,  1840320, 222f185036fe4d66fe84466852978266
0,         34,         34,        1,  1840320, 80e81467cdf9859dd68fbbe15b105f5e
0,         35,         35,        1,  1840320, 68b0cde79a39d5efa52f15491ed155e4
0,         36,         36,        1,  1840320, 81862ce1ec514728af4727f48e69c7c2
0,         37,         37,        1,  1840320, bfdce7dc4d5182df4e77a13c839c263b
0,         38,         38,        1,  1840320, 95995ef64dc4906d8793bdf72bfc1086
0,         39,         39,        1,  1840320, 1b9fac9481790605dfe04d904bc87769
0,         40,         40,        1,  1840320, 84a73b2721af4f4723be7f8dba95dd0f
0,         41,         41,        1,  1840320, 7b0a80ba8deda5f74914ccf7165d69ea
0,         42,         42,        1,  1840320, 1a567e1e955bddae4d785275cc2bad63
0,         43,         43,        1,  1840320, 27eb61b0416f0c844c69a84d97945ef6
0,         44,         44,        1,  1840320, 59ac08fc245df36a0d057f0fa3c0e427
